Product Name,Price,Product Csv name
Xiaomi Poco F5 Pro 256GB ,20499,Xiaomi Poco F5 Pro
Xiaomi Redmi A3 128GB ,6177,Xiaomi Redmi A3
Xiaomi Redmi A3 128GB ,6177,Xiaomi Redmi A3
Xiaomi 14 Ultra 512GB ,64899,Xiaomi 14 Ultra
Xiaomi 14 512GB ,64899,Xiaomi 14
Xiaomi Poco F6 Pro 512GB ,20628,Xiaomi Poco F6 Pro
Xiaomi Redmi 13 256GB ,8299,Xiaomi Redmi 13
Xiaomi Redmi Note 12S 256GB ,9048,Xiaomi Redmi Note 12S
Xiaomi Poco F6 Pro 512GB ,20628,Xiaomi Poco F6 Pro
Xiaomi 14 512GB ,64899,Xiaomi 14
Xiaomi 14 Ultra 512GB ,64899,Xiaomi 14 Ultra
Xiaomi Redmi A3 128GB ,6177,Xiaomi Redmi A3
Xiaomi Redmi A3 128GB ,6177,Xiaomi Redmi A3
Xiaomi Redmi 13 256GB ,8299,Xiaomi Redmi 13
Xiaomi 14T 512GB ,24498,Xiaomi 14T
Xiaomi Redmi Note 12S 128GB ,9048,Xiaomi Redmi Note 12S
Xiaomi Redmi 13C 5G 128GB ,7939,Xiaomi Redmi 13C 5G
Xiaomi Poco X5 Pro 256GB ,20499,Xiaomi Poco X5 Pro
Xiaomi 13 Lite 256GB ,21559,Xiaomi 13 Lite
Xiaomi 14T Pro 512GB ,30300,Xiaomi 14T Pro
Xiaomi Redmi Note 12 4G 256GB ,10908,Xiaomi Redmi Note 12 4G
Xiaomi Redmi Note 12 4G 128GB ,8531,Xiaomi Redmi Note 12 4G
Xiaomi Redmi Note 12 4G 128GB ,8531,Xiaomi Redmi Note 12 4G
Xiaomi Redmi Note 12 4G 128GB ,8531,Xiaomi Redmi Note 12 4G
Xiaomi Redmi 14C 128GB ,6588,Xiaomi Redmi 14C
Xiaomi Redmi 14C 128GB ,6588,Xiaomi Redmi 14C
Xiaomi Poco X6 512GB ,16552,Xiaomi Poco X6
Xiaomi Redmi Note 13 Pro+ 512GB ,14996,Xiaomi Redmi Note 13 Pro+
Xiaomi Redmi Note 13 4G 128GB ,8531,Xiaomi Redmi Note 13 4G
Xiaomi Redmi Note 13 4G 256GB ,10908,Xiaomi Redmi Note 13 4G
Xiaomi Poco X6 256GB ,17640,Xiaomi Poco X6
Xiaomi 13T Pro 1000GB ,24999,Xiaomi 13T Pro
Xiaomi Redmi Note 13 256GB ,10764,Xiaomi Redmi Note 13
Xiaomi Poco X6 Pro 512GB ,20628,Xiaomi Poco X6 Pro
Xiaomi Poco M6 Pro 512GB ,20628,Xiaomi Poco M6 Pro
Xiaomi Redmi 13C 128GB ,7939,Xiaomi Redmi 13C
Xiaomi Redmi 13C 256GB ,8054,Xiaomi Redmi 13C
Xiaomi Redmi Note 13 Pro+ 512GB ,14996,Xiaomi Redmi Note 13 Pro+
Xiaomi 13T Pro 512GB ,24999,Xiaomi 13T Pro
Xiaomi Redmi 12 256GB ,7060,Xiaomi Redmi 12
Xiaomi Redmi 12 128GB ,7399,Xiaomi Redmi 12
Xiaomi Poco F5 Pro 512GB ,20628,Xiaomi Poco F5 Pro
Xiaomi Poco F5 Pro 256GB ,20499,Xiaomi Poco F5 Pro
Xiaomi Redmi 12 5G 128GB ,12500,Xiaomi Redmi 12 5G
Xiaomi Redmi Note 13 Pro 512GB ,14996,Xiaomi Redmi Note 13 Pro
