Product Name,Price,Product Csv name
Xiaomi Poco X6 Pro 512GB ,0,Xiaomi Poco X6 Pro
Xiaomi Poco X6 Pro 256GB ,0,Xiaomi Poco X6 Pro
Xiaomi Redmi Note 13 256GB ,0,Xiaomi Redmi Note 13
Xiaomi Redmi Note 13 256GB ,0,Xiaomi Redmi Note 13
Xiaomi Poco X6 512GB ,0,Xiaomi Poco X6
Xiaomi Poco X6 256GB ,0,Xiaomi Poco X6
Xiaomi Redmi Note 13 4G 128GB ,0,Xiaomi Redmi Note 13 4G
Xiaomi Redmi Note 13 Pro+ 256GB ,0,Xiaomi Redmi Note 13 Pro+
Xiaomi Redmi Note 13 Pro 256GB ,0,Xiaomi Redmi Note 13 Pro
Xiaomi Redmi Note 13 Pro 256GB ,0,Xiaomi Redmi Note 13 Pro
Xiaomi Poco M6 Pro 512GB ,0,Xiaomi Poco M6 Pro
Xiaomi Redmi 13C 5G 128GB ,0,Xiaomi Redmi 13C 5G
Xiaomi Redmi Note 12 4G 128GB ,0,Xiaomi Redmi Note 12 4G
Xiaomi Redmi Note 12 4G 128GB ,0,Xiaomi Redmi Note 12 4G
Xiaomi Redmi Note 12 4G 128GB ,0,Xiaomi Redmi Note 12 4G
Xiaomi Redmi A2+ 32GB ,0,Xiaomi Redmi A2+
Xiaomi Redmi A2+ 64GB ,0,Xiaomi Redmi A2+
Xiaomi Redmi A2 32GB ,0,Xiaomi Redmi A2
Xiaomi Poco X5 Pro 256GB ,0,Xiaomi Poco X5 Pro
Xiaomi Redmi Note 12S 128GB ,0,Xiaomi Redmi Note 12S
Xiaomi Poco F6 512GB ,0,Xiaomi Poco F6
Xiaomi Poco F6 Pro 1000GB ,0,Xiaomi Poco F6 Pro
Xiaomi Poco F6 Pro 512GB ,0,Xiaomi Poco F6 Pro
Xiaomi Redmi Note 12S 128GB ,0,Xiaomi Redmi Note 12S
Xiaomi Poco X5 Pro 256GB ,0,Xiaomi Poco X5 Pro
Xiaomi 13 Lite 256GB ,0,Xiaomi 13 Lite
Xiaomi Redmi A2 64GB ,0,Xiaomi Redmi A2
Xiaomi Redmi A2+ 32GB ,0,Xiaomi Redmi A2+
Xiaomi Redmi Note 12 4G 128GB ,0,Xiaomi Redmi Note 12 4G
Xiaomi Redmi Note 12 4G 128GB ,0,Xiaomi Redmi Note 12 4G
Xiaomi 14 512GB ,0,Xiaomi 14
Xiaomi 14 Ultra 512GB ,0,Xiaomi 14 Ultra
Xiaomi Redmi 13 256GB ,0,Xiaomi Redmi 13
Xiaomi Poco M6 4G 256GB ,0,Xiaomi Poco M6 4G
Xiaomi Poco C65 256GB ,0,Xiaomi Poco C65
Xiaomi Redmi 13C 256GB ,0,Xiaomi Redmi 13C
Xiaomi Redmi 13C 128GB ,0,Xiaomi Redmi 13C
Xiaomi Poco M6 Pro 512GB ,0,Xiaomi Poco M6 Pro
Xiaomi Poco X6 Pro 512GB ,0,Xiaomi Poco X6 Pro
Xiaomi Poco X6 Pro 256GB ,0,Xiaomi Poco X6 Pro
Xiaomi Redmi Note 13 256GB ,0,Xiaomi Redmi Note 13
Xiaomi Redmi Note 13 256GB ,0,Xiaomi Redmi Note 13
Xiaomi Poco X6 512GB ,0,Xiaomi Poco X6
Xiaomi Poco X6 256GB ,0,Xiaomi Poco X6
Xiaomi Redmi Note 13 Pro+ 512GB ,0,Xiaomi Redmi Note 13 Pro+
Xiaomi Redmi Note 13 Pro+ 512GB ,0,Xiaomi Redmi Note 13 Pro+
Xiaomi Redmi Note 13 Pro 512GB ,0,Xiaomi Redmi Note 13 Pro
Xiaomi 13T 256GB ,0,Xiaomi 13T
Xiaomi 13T Pro 512GB ,0,Xiaomi 13T Pro
Xiaomi Redmi Note 12 Pro 4G 128GB ,0,Xiaomi Redmi Note 12 Pro 4G
Xiaomi Poco F5 256GB ,0,Xiaomi Poco F5
Xiaomi Redmi 12 128GB ,0,Xiaomi Redmi 12
Xiaomi Poco F5 Pro 256GB ,0,Xiaomi Poco F5 Pro
Xiaomi Redmi Note 13 Pro 4G 512GB ,0,Xiaomi Redmi Note 13 Pro 4G
Xiaomi Redmi Note 13 Pro 4G 256GB ,0,Xiaomi Redmi Note 13 Pro 4G
Xiaomi Redmi 14C 128GB ,0,Xiaomi Redmi 14C
Xiaomi 14T Pro 512GB ,0,Xiaomi 14T Pro
Xiaomi 14T 512GB ,0,Xiaomi 14T
Xiaomi Redmi Note 13 4G 256GB ,0,Xiaomi Redmi Note 13 4G
Xiaomi Poco C65 256GB ,0,Xiaomi Poco C65
Xiaomi Redmi 13C 256GB ,0,Xiaomi Redmi 13C
Xiaomi Redmi 13C 128GB ,0,Xiaomi Redmi 13C
Xiaomi Poco M6 Pro 512GB ,0,Xiaomi Poco M6 Pro
Xiaomi Poco X6 Pro 512GB ,0,Xiaomi Poco X6 Pro
Xiaomi Poco X6 Pro 256GB ,0,Xiaomi Poco X6 Pro
Xiaomi Redmi Note 13 256GB ,0,Xiaomi Redmi Note 13
Xiaomi Redmi Note 13 256GB ,0,Xiaomi Redmi Note 13
Xiaomi Poco X6 512GB ,0,Xiaomi Poco X6
Xiaomi Poco X6 256GB ,0,Xiaomi Poco X6
Xiaomi Redmi Note 13 4G 256GB ,0,Xiaomi Redmi Note 13 4G
Xiaomi Redmi Note 13 4G 128GB ,0,Xiaomi Redmi Note 13 4G
Xiaomi Redmi Note 13 Pro+ 512GB ,0,Xiaomi Redmi Note 13 Pro+
Xiaomi Redmi Note 13 Pro 512GB ,0,Xiaomi Redmi Note 13 Pro
Xiaomi 13T 256GB ,0,Xiaomi 13T
Xiaomi Redmi Note 12S 128GB ,0,Xiaomi Redmi Note 12S
Xiaomi Poco X5 256GB ,0,Xiaomi Poco X5
Xiaomi Poco X5 Pro 256GB ,0,Xiaomi Poco X5 Pro
Xiaomi 13 Lite 256GB ,0,Xiaomi 13 Lite
Xiaomi Redmi A2 64GB ,0,Xiaomi Redmi A2
Xiaomi Redmi Note 12 4G 128GB ,0,Xiaomi Redmi Note 12 4G
Xiaomi Redmi Note 12 4G 128GB ,0,Xiaomi Redmi Note 12 4G
Xiaomi Redmi 13C 5G 128GB ,0,Xiaomi Redmi 13C 5G
Xiaomi 13T Pro 1000GB ,0,Xiaomi 13T Pro
Xiaomi 13T Pro 512GB ,0,Xiaomi 13T Pro
Xiaomi Redmi Note 12 Pro 4G 256GB ,0,Xiaomi Redmi Note 12 Pro 4G
Xiaomi Redmi Note 12 Pro 4G 128GB ,0,Xiaomi Redmi Note 12 Pro 4G
Xiaomi Poco F5 256GB ,0,Xiaomi Poco F5
Xiaomi 13 Ultra 512GB ,0,Xiaomi 13 Ultra
Xiaomi 13 Ultra 512GB ,0,Xiaomi 13 Ultra
Xiaomi Redmi 12 256GB ,0,Xiaomi Redmi 12
Xiaomi Redmi 12 128GB ,0,Xiaomi Redmi 12
Xiaomi Poco F5 Pro 512GB ,0,Xiaomi Poco F5 Pro
Xiaomi Poco F5 Pro 256GB ,0,Xiaomi Poco F5 Pro
Xiaomi Redmi Note 13 Pro 4G 512GB ,0,Xiaomi Redmi Note 13 Pro 4G
Xiaomi Redmi Note 13 Pro 4G 256GB ,0,Xiaomi Redmi Note 13 Pro 4G
Xiaomi Poco M6 4G 256GB ,0,Xiaomi Poco M6 4G
Xiaomi Redmi A3 128GB ,0,Xiaomi Redmi A3
Xiaomi Redmi A3 128GB ,0,Xiaomi Redmi A3
Xiaomi 14 Ultra 512GB ,0,Xiaomi 14 Ultra
Xiaomi 14 512GB ,0,Xiaomi 14
Xiaomi Redmi A3x 128GB ,0,Xiaomi Redmi A3x
Xiaomi Poco F6 512GB ,0,Xiaomi Poco F6
Xiaomi Poco F6 Pro 1000GB ,0,Xiaomi Poco F6 Pro
Xiaomi Poco F6 Pro 512GB ,0,Xiaomi Poco F6 Pro
Xiaomi Redmi 13 256GB ,0,Xiaomi Redmi 13
Xiaomi Redmi Note 12S 256GB ,0,Xiaomi Redmi Note 12S
Xiaomi Poco F6 Pro 512GB ,0,Xiaomi Poco F6 Pro
Xiaomi Poco F6 Pro 1000GB ,0,Xiaomi Poco F6 Pro
Xiaomi Poco F6 512GB ,0,Xiaomi Poco F6
Xiaomi 14 512GB ,0,Xiaomi 14
Xiaomi 14 Ultra 512GB ,0,Xiaomi 14 Ultra
Xiaomi Redmi A3 128GB ,0,Xiaomi Redmi A3
Xiaomi Redmi A3 128GB ,0,Xiaomi Redmi A3
Xiaomi Redmi 13 256GB ,0,Xiaomi Redmi 13
Xiaomi Poco M6 4G 256GB ,0,Xiaomi Poco M6 4G
Xiaomi 14T 512GB ,0,Xiaomi 14T
Xiaomi Redmi Note 12S 128GB ,0,Xiaomi Redmi Note 12S
Xiaomi Redmi 13C 5G 128GB ,0,Xiaomi Redmi 13C 5G
Xiaomi Poco X5 256GB ,0,Xiaomi Poco X5
Xiaomi Poco X5 Pro 256GB ,0,Xiaomi Poco X5 Pro
Xiaomi 13 Lite 256GB ,0,Xiaomi 13 Lite
Xiaomi 14T Pro 512GB ,0,Xiaomi 14T Pro
